room_id,dq_missing_customer_id,dq_amount_negative,source,checkout_date,booking_id,dq_date_inverted,total_amount,checkin_date,nights,dq_currency_invalid,customer_id,status
H006-R021,false,false,walk_in,2025-04-25,B004237,false,1250.33,2025-04-19,6,false,C01638,confirmed
H007-R009,false,false,expedia,2025-04-07,B002095,false,525.27,2025-04-03,4,false,C00970,confirmed
H001-R004,false,false,expedia,2025-02-05,B000003,false,841.42,2025-02-01,4,false,C02647,confirmed
H008-R004,false,false,booking.com,2025-05-19,B004606,false,1211.49,2025-05-13,6,false,C02956,confirmed
H001-R021,false,false,expedia,2025-01-21,B002483,false,823.81,2025-01-15,6,false,C02815,confirmed
H006-R022,false,false,web,2025-06-14,B000368,false,479.38,2025-06-11,3,false,C00921,confirmed
H007-R015,false,false,expedia,2025-07-10,B000739,false,735.77,2025-07-06,4,false,C00698,confirmed
H003-R021,false,false,mobile,2025-07-23,B004472,false,191.89,2025-07-22,1,false,C01790,confirmed
H005-R025,false,false,booking.com,2025-06-28,B002349,false,795.79,2025-06-24,4,false,C00425,confirmed
H007-R025,false,false,mobile,2025-05-07,B004832,false,363.35,2025-05-05,2,false,C00950,confirmed
H007-R025,false,false,mobile,2025-07-16,B002699,false,441.21,2025-07-14,2,false,C00101,confirmed
H001-R002,false,false,mobile,2025-07-16,B000588,false,843.26,2025-07-10,6,false,C02215,confirmed
H008-R005,false,false,mobile,2025-03-14,B004676,false,431.35,2025-03-12,2,false,C01794,confirmed
H008-R007,false,false,booking.com,2025-04-22,B003065,false,214.09,2025-04-21,1,false,C01196,confirmed
H002-R001,false,false,expedia,2025-05-02,B000954,false,468.51,2025-04-29,3,false,C00167,confirmed
H001-R007,false,false,expedia,2025-04-25,B005074,false,505.82,2025-04-22,3,false,C02629,confirmed
H007-R008,false,false,expedia,2025-05-17,B002921,false,411.05,2025-05-14,3,false,C00500,confirmed
H001-R018,false,false,expedia,2025-06-03,B000826,false,874.44,2025-05-28,6,false,C02097,confirmed
H005-R011,false,false,walk_in,2025-02-13,B003279,false,205.73,2025-02-12,1,false,C01689,confirmed
H008-R004,false,false,walk_in,2025-04-21,B001170,false,149.17,2025-04-20,1,false,C02412,confirmed
H005-R025,false,false,walk_in,2025-07-11,B004935,false,1111.82,2025-07-06,5,false,C02430,confirmed
H004-R005,false,false,mobile,2025-08-11,B005273,false,156.39,2025-08-10,1,false,C00206,confirmed
H002-R002,false,false,booking.com,2025-05-25,B003132,false,553.99,2025-05-21,4,false,C01801,confirmed
H007-R013,false,false,mobile,2025-03-10,B001027,false,781.13,2025-03-06,4,false,C01641,confirmed
H005-R020,false,false,walk_in,2025-05-19,B005663,false,140.87,2025-05-18,1,false,C02448,confirmed
H005-R006,false,false,web,2025-03-01,B003506,false,217.68,2025-02-28,1,false,C01911,confirmed
H006-R019,false,false,walk_in,2025-07-30,B001402,false,836.55,2025-07-26,4,false,C01930,confirmed
H003-R013,false,false,expedia,2025-03-19,B001718,false,431.63,2025-03-16,3,false,C00682,confirmed
H002-R024,false,false,mobile,2025-05-11,B005518,false,646.89,2025-05-08,3,false,C02847,confirmed
H007-R002,false,false,expedia,2025-03-17,B003373,false,156.56,2025-03-16,1,false,C01969,confirmed
H008-R010,false,false,web,2025-02-04,B005891,false,952.98,2025-01-30,5,false,C00896,confirmed
H005-R013,false,false,mobile,2025-05-02,B003707,false,361.95,2025-04-30,2,false,C00690,confirmed
H002-R021,false,false,walk_in,2025-04-10,B001594,false,670.82,2025-04-07,3,false,C02702,confirmed
H005-R005,false,false,expedia,2025-02-24,B005738,false,426.34,2025-02-22,2,false,C01406,confirmed
H005-R011,false,false,booking.com,2025-05-10,B004091,false,170.91,2025-05-09,1,false,C00746,confirmed
H002-R014,false,false,web,2025-07-14,B001949,false,170.16,2025-07-13,1,false,C00425,confirmed
H008-R009,false,false,walk_in,2025-04-09,B000204,false,895.53,2025-04-05,4,false,C01514,confirmed
H001-R015,false,false,walk_in,2025-05-01,B003950,false,388.27,2025-04-29,2,false,C00861,confirmed
H005-R013,false,false,expedia,2025-02-25,B001817,false,760.38,2025-02-19,6,false,C01071,confirmed
H008-R006,false,false,expedia,2025-07-10,B004311,false,317.18,2025-07-08,2,false,C00662,confirmed
H008-R017,false,false,web,2025-03-04,B002171,false,649.04,2025-02-27,5,false,C01914,confirmed
H003-R023,false,false,booking.com,2025-07-13,B000067,false,462.5,2025-07-10,3,false,C00964,confirmed
H005-R002,false,false,web,2025-01-30,B004154,false,158.35,2025-01-29,1,false,C01395,confirmed
H006-R013,false,false,web,2025-04-09,B002569,false,222.55,2025-04-08,1,false,C01977,confirmed
H002-R010,false,false,expedia,2025-02-21,B000452,false,594.14,2025-02-17,4,false,C02689,confirmed
H007-R025,false,false,web,2025-02-10,B004546,false,636.44,2025-02-06,4,false,C02474,confirmed
H003-R018,false,false,web,2025-02-02,B002417,false,144.21,2025-02-01,1,false,C00051,confirmed
H008-R017,false,false,web,2025-03-30,B000301,false,154.73,2025-03-29,1,false,C02555,confirmed
H003-R021,false,false,mobile,2025-06-06,B002775,false,380.99,2025-06-03,3,false,C01180,confirmed
H004-R013,false,false,walk_in,2025-05-05,B000679,false,555.45,2025-05-02,3,false,C01849,confirmed
H008-R021,false,false,web,2025-06-28,B004417,false,221.21,2025-06-27,1,false,C00899,confirmed
H002-R021,false,false,web,2025-07-23,B004769,false,861.23,2025-07-18,5,false,C02898,confirmed
H008-R008,false,false,web,2025-07-05,B002637,false,823.81,2025-07-01,4,false,C02716,confirmed
H004-R025,false,false,booking.com,2025-01-16,B000523,false,642.9,2025-01-12,4,false,C02687,confirmed
H004-R012,false,false,web,2025-01-15,B005148,false,154.55,2025-01-14,1,false,C00967,confirmed
H003-R001,false,false,mobile,2025-07-12,B003000,false,622.45,2025-07-08,4,false,C01729,confirmed
H004-R015,false,false,mobile,2025-03-01,B000901,false,1212.03,2025-02-23,6,false,C00892,confirmed
H005-R017,false,false,mobile,2025-05-19,B001242,false,870.68,2025-05-15,4,false,C00020,confirmed
H004-R007,false,false,booking.com,2025-04-11,B005004,false,194.48,2025-04-10,1,false,C00961,confirmed
H005-R019,false,false,web,2025-04-06,B002864,false,1111.28,2025-03-30,7,false,C02158,confirmed
H006-R019,false,false,walk_in,2025-05-19,B005362,false,169.15,2025-05-18,1,false,C01245,confirmed
H008-R023,false,false,walk_in,2025-05-06,B003216,false,267.25,2025-05-04,2,false,C02086,confirmed
H002-R009,false,false,expedia,2025-04-11,B001102,false,738.13,2025-04-07,4,false,C00152,confirmed
H006-R018,false,false,booking.com,2025-06-05,B005209,false,291.63,2025-06-03,2,false,C02614,confirmed
H008-R004,false,false,web,2025-06-10,B003586,false,788.43,2025-06-04,6,false,C00470,confirmed
H003-R020,false,false,booking.com,2025-02-25,B001470,false,208.98,2025-02-24,1,false,C02687,confirmed
H003-R002,false,false,booking.com,2025-01-27,B005587,false,954.95,2025-01-21,6,false,C02504,confirmed
H007-R021,false,false,walk_in,2025-06-15,B003435,false,1071.12,2025-06-09,6,false,C01971,confirmed
H002-R004,false,false,booking.com,2025-02-08,B001336,false,670.02,2025-02-03,5,false,C02753,confirmed
H003-R024,false,false,walk_in,2025-03-12,B003772,false,299.35,2025-03-10,2,false,C01943,confirmed
H005-R025,false,false,expedia,2025-01-16,B001660,false,258.11,2025-01-14,2,false,C00167,confirmed
H001-R010,false,false,web,2025-06-22,B005453,false,874.5,2025-06-16,6,false,C00833,confirmed
H005-R010,false,false,expedia,2025-02-15,B005815,false,382.99,2025-02-12,3,false,C00549,confirmed
H002-R022,false,false,walk_in,2025-06-05,B003640,false,147.06,2025-06-04,1,false,C02497,confirmed
H006-R021,false,false,booking.com,2025-07-14,B001530,false,875.98,2025-07-07,7,false,C02414,confirmed
H003-R009,false,false,expedia,2025-07-21,B004029,false,391.5,2025-07-18,3,false,C00885,confirmed
H004-R005,false,false,booking.com,2025-01-28,B001886,false,1022.78,2025-01-23,5,false,C00771,confirmed
H004-R015,false,false,walk_in,2025-06-09,B002259,false,424.25,2025-06-07,2,false,C00921,confirmed
H002-R006,false,false,walk_in,2025-07-11,B000135,false,220.2,2025-07-10,1,false,C01806,confirmed
H003-R006,false,false,booking.com,2025-02-06,B003875,false,389.1,2025-02-04,2,false,C01874,confirmed
H003-R014,false,false,walk_in,2025-07-06,B004247,false,877.01,2025-06-30,6,false,C02559,confirmed
H001-R018,false,false,booking.com,2025-01-28,B002107,false,1083.75,2025-01-22,6,false,C01604,confirmed
H003-R008,false,false,booking.com,2025-05-25,B000012,false,680.51,2025-05-21,4,false,C02348,confirmed
H006-R013,false,false,web,2025-07-12,B004612,false,361.43,2025-07-10,2,false,C00104,confirmed
H002-R023,false,false,mobile,2025-06-14,B002488,false,722.84,2025-06-08,6,false,C02873,confirmed
H007-R011,false,false,expedia,2025-03-11,B000378,false,590.22,2025-03-07,4,false,C01498,confirmed
H007-R005,false,false,expedia,2025-04-05,B000746,false,256.69,2025-04-03,2,false,C02399,confirmed
H005-R004,false,false,mobile,2025-05-03,B004480,false,312.27,2025-05-01,2,false,C01244,confirmed
H006-R015,false,false,expedia,2025-03-22,B002359,false,616.01,2025-03-19,3,false,C01700,confirmed
H007-R015,false,false,booking.com,2025-02-13,B004839,false,1338.69,2025-02-07,6,false,C01909,confirmed
H006-R018,false,false,expedia,2025-03-21,B002708,false,789.38,2025-03-17,4,false,C00877,confirmed
H003-R012,false,false,walk_in,2025-01-31,B000597,false,618.08,2025-01-28,3,false,C01320,confirmed
H008-R015,false,false,expedia,2025-03-27,B004689,false,209.9,2025-03-26,1,false,C02865,confirmed
H007-R011,false,false,expedia,2025-01-16,B002576,false,122.44,2025-01-15,1,false,C00905,confirmed
H001-R021,false,false,walk_in,2025-04-28,B000968,false,743.15,2025-04-22,6,false,C01478,confirmed
H001-R007,false,false,web,2025-04-24,B005090,false,209.42,2025-04-23,1,false,C01210,confirmed
H007-R003,false,false,web,2025-06-30,B002930,false,582.04,2025-06-27,3,false,C00005,confirmed
H004-R004,false,false,mobile,2025-03-26,B000833,false,1046.19,2025-03-21,5,false,C02517,confirmed
H008-R017,false,false,booking.com,2025-02-15,B003288,false,901.51,2025-02-10,5,false,C01644,confirmed
H008-R002,false,false,expedia,2025-04-12,B001183,false,492.92,2025-04-09,3,false,C00856,confirmed
H001-R018,false,false,walk_in,2025-06-08,B004945,false,386.67,2025-06-06,2,false,C00541,confirmed
H002-R018,false,false,walk_in,2025-01-19,B005284,false,608.16,2025-01-16,3,false,C01645,confirmed
H002-R012,false,false,booking.com,2025-05-15,B003143,false,183.12,2025-05-14,1,false,C01964,confirmed
H001-R018,false,false,walk_in,2025-02-25,B001037,false,733.39,2025-02-20,5,false,C01764,confirmed
H007-R002,false,false,booking.com,2025-06-26,B005672,false,371.79,2025-06-24,2,false,C01350,confirmed
H008-R018,false,false,mobile,2025-05-23,B003519,false,579.87,2025-05-19,4,false,C01031,confirmed
H005-R014,false,false,mobile,2025-07-06,B001408,false,195.36,2025-07-05,1,false,C00059,confirmed
H007-R005,false,false,expedia,2025-07-23,B001728,false,471.47,2025-07-20,3,false,C02025,confirmed
H003-R010,false,false,booking.com,2025-02-17,B005536,false,876.8,2025-02-13,4,false,C02343,confirmed
H003-R013,false,false,booking.com,2025-04-23,B003383,false,862.97,2025-04-18,5,false,C01283,confirmed
H002-R009,false,false,walk_in,2025-03-20,B005900,false,629.18,2025-03-15,5,false,C02699,confirmed
H003-R008,false,false,expedia,2025-02-02,B003717,false,278.62,2025-01-31,2,false,C01552,confirmed
H007-R015,false,false,booking.com,2025-06-27,B001600,false,384.43,2025-06-24,3,false,C00900,confirmed
H004-R011,false,false,expedia,2025-02-24,B005747,false,213,2025-02-23,1,false,C02835,confirmed
H003-R021,false,false,web,2025-07-08,B003591,false,582.89,2025-07-05,3,false,C02814,confirmed
H001-R005,false,false,mobile,2025-07-10,B001957,false,629.53,2025-07-07,3,false,C00972,confirmed
H006-R016,false,false,booking.com,2025-04-14,B000215,false,214.23,2025-04-13,1,false,C00291,confirmed
H003-R005,false,false,web,2025-07-07,B003961,false,1198.67,2025-06-30,7,false,C01834,confirmed
H002-R005,false,false,walk_in,2025-05-18,B001828,false,128.71,2025-05-17,1,false,C01459,confirmed
H003-R017,false,false,web,2025-06-02,B004319,false,481.01,2025-05-30,3,false,C01679,confirmed
H005-R006,false,false,mobile,2025-05-29,B002178,false,949.6,2025-05-22,7,false,C01215,confirmed
H003-R009,false,false,walk_in,2025-05-03,B000074,false,379.45,2025-05-01,2,false,C01046,confirmed
H001-R005,false,false,mobile,2025-01-15,B004168,false,358.36,2025-01-13,2,false,C01318,confirmed
H002-R017,false,false,walk_in,2025-02-11,B002037,false,566.86,2025-02-08,3,false,C00597,confirmed
H005-R003,false,false,web,2025-02-04,B000463,false,139.33,2025-02-03,1,false,C01599,confirmed
H008-R022,false,false,walk_in,2025-04-21,B004552,false,216.7,2025-04-20,1,false,C00728,confirmed
H008-R012,false,false,expedia,2025-06-03,B002430,false,1336.76,2025-05-28,6,false,C00167,confirmed
H001-R005,false,false,booking.com,2025-03-26,B000309,false,410.98,2025-03-24,2,false,C01607,confirmed
H008-R006,false,false,booking.com,2025-04-02,B002784,false,506.22,2025-03-29,4,false,C00568,confirmed
H002-R006,false,false,walk_in,2025-01-27,B000687,false,902.63,2025-01-22,5,false,C02180,confirmed
H007-R008,false,false,mobile,2025-06-04,B004425,false,443.12,2025-06-02,2,false,C02550,confirmed
H002-R007,false,false,web,2025-05-30,B004780,false,415.05,2025-05-27,3,false,C02522,confirmed
H006-R013,false,false,walk_in,2025-01-28,B002643,false,395.06,2025-01-26,2,false,C02210,confirmed
H008-R023,false,false,walk_in,2025-04-22,B000530,false,1171.43,2025-04-15,7,false,C00976,confirmed
H004-R018,false,false,web,2025-01-24,B005159,false,177.57,2025-01-23,1,false,C01756,confirmed
H007-R014,false,false,web,2025-03-17,B003007,false,374.01,2025-03-15,2,false,C01813,confirmed
H008-R024,false,false,booking.com,2025-02-16,B000908,false,613.13,2025-02-13,3,false,C01298,confirmed
H003-R013,false,false,web,2025-04-06,B001255,false,421.25,2025-04-04,2,false,C02168,confirmed
H004-R024,false,false,mobile,2025-04-15,B005013,false,271.93,2025-04-13,2,false,C00206,confirmed
H003-R010,false,false,walk_in,2025-02-28,B002874,false,514.7,2025-02-24,4,false,C02548,confirmed
H002-R007,false,false,web,2025-02-23,B005372,false,121.24,2025-02-22,1,false,C01206,confirmed
H004-R009,false,false,booking.com,2025-04-18,B003222,false,162.36,2025-04-17,1,false,C01043,confirmed
H005-R022,false,false,booking.com,2025-04-04,B001110,false,1300.71,2025-03-28,7,false,C00208,confirmed
H006-R010,false,false,web,2025-02-15,B005219,false,454.43,2025-02-12,3,false,C02568,confirmed
H006-R003,false,false,walk_in,2025-07-25,B003077,false,591.82,2025-07-22,3,false,C00341,confirmed
H006-R006,false,false,walk_in,2025-07-04,B001487,false,457.93,2025-07-01,3,false,C01679,confirmed
H004-R006,false,false,walk_in,2025-02-22,B005603,false,383.5,2025-02-19,3,false,C00323,confirmed
H006-R021,false,false,mobile,2025-07-24,B003446,false,761.53,2025-07-19,5,false,C02391,confirmed
H005-R004,false,false,web,2025-03-15,B001347,false,178.23,2025-03-14,1,false,C02999,confirmed
H006-R015,false,false,mobile,2025-04-09,B003785,false,134.55,2025-04-08,1,false,C00162,confirmed
H005-R013,false,false,web,2025-06-13,B001668,false,363.25,2025-06-11,2,false,C00767,confirmed
H003-R013,false,false,walk_in,2025-01-19,B005460,false,451.38,2025-01-16,3,false,C02803,confirmed
H004-R016,false,false,booking.com,2025-07-15,B005829,false,429.16,2025-07-13,2,false,C01362,confirmed
H005-R003,false,false,expedia,2025-03-15,B003652,false,186.2,2025-03-14,1,false,C02108,confirmed
H003-R025,false,false,expedia,2025-05-09,B001540,false,595.2,2025-05-06,3,false,C01025,confirmed
H008-R001,false,false,booking.com,2025-06-15,B004040,false,396.82,2025-06-13,2,false,C00179,confirmed
H007-R011,false,false,web,2025-03-01,B001894,false,552.1,2025-02-25,4,false,C02550,confirmed
H007-R009,false,false,web,2025-06-22,B002269,false,367.91,2025-06-20,2,false,C01357,confirmed
H002-R016,false,false,expedia,2025-06-20,B000142,false,859.82,2025-06-14,6,false,C00257,confirmed
H004-R003,false,false,walk_in,2025-03-20,B003889,false,495.87,2025-03-17,3,false,C01117,confirmed
H002-R003,false,false,booking.com,2025-04-30,B004257,false,578.38,2025-04-27,3,false,C00234,confirmed
H005-R023,false,false,expedia,2025-05-01,B002114,false,456.72,2025-04-28,3,false,C00604,confirmed
H008-R011,false,false,web,2025-07-16,B000021,false,639.21,2025-07-12,4,false,C01332,confirmed
H005-R007,false,false,booking.com,2025-02-16,B004100,false,351.66,2025-02-14,2,false,C00773,confirmed
H005-R012,false,false,walk_in,2025-02-27,B002500,false,184.31,2025-02-26,1,false,C02347,confirmed
H008-R001,false,false,web,2025-02-27,B000391,false,296.47,2025-02-25,2,false,C01624,confirmed
H008-R004,false,false,booking.com,2025-05-21,B000754,false,624.4,2025-05-17,4,false,C01451,confirmed
H003-R011,false,false,walk_in,2025-03-21,B004491,false,720.71,2025-03-17,4,false,C01148,confirmed
H002-R010,false,false,walk_in,2025-07-03,B002365,false,194.32,2025-07-02,1,false,C02936,confirmed
H002-R022,false,false,expedia,2025-03-17,B000248,false,757.34,2025-03-12,5,false,C01609,confirmed
H007-R015,false,false,web,2025-03-10,B004848,false,163.8,2025-03-09,1,false,C00125,confirmed
H003-R010,false,false,web,2025-07-12,B002715,false,433.13,2025-07-10,2,false,C01369,confirmed
H003-R004,false,false,walk_in,2025-06-14,B000610,false,823.27,2025-06-08,6,false,C00541,confirmed
H004-R009,false,false,mobile,2025-08-04,B004698,false,1185.82,2025-07-28,7,false,C01530,confirmed
H004-R002,false,false,mobile,2025-01-27,B002586,false,574.24,2025-01-24,3,false,C00105,confirmed
H003-R009,false,false,web,2025-05-26,B000980,false,580.6,2025-05-22,4,false,C00259,confirmed
H002-R013,false,false,expedia,2025-07-10,B005099,false,367.73,2025-07-07,3,false,C00689,confirmed
H003-R013,false,false,web,2025-05-26,B002939,false,196.29,2025-05-25,1,false,C01684,confirmed
H005-R001,false,false,booking.com,2025-03-07,B000846,false,202.84,2025-03-06,1,false,C02342,confirmed
H008-R017,false,false,walk_in,2025-05-11,B003294,false,634.97,2025-05-08,3,false,C00912,confirmed
H008-R005,false,false,booking.com,2025-06-03,B001194,false,603.18,2025-05-30,4,false,C00670,confirmed
H007-R022,false,false,walk_in,2025-06-19,B004951,false,1095.21,2025-06-13,6,false,C02217,confirmed
H003-R015,false,false,expedia,2025-06-12,B005297,false,740.83,2025-06-07,5,false,C00864,confirmed
H007-R007,false,false,mobile,2025-01-18,B003155,false,384.74,2025-01-16,2,false,C01970,confirmed
H005-R024,false,false,walk_in,2025-03-30,B001049,false,301.79,2025-03-28,2,false,C02982,confirmed
H002-R022,false,false,expedia,2025-05-20,B005161,false,1030.83,2025-05-15,5,false,C00824,confirmed
H001-R009,false,false,web,2025-03-20,B003530,false,359.77,2025-03-18,2,false,C01787,confirmed
H008-R018,false,false,expedia,2025-05-24,B001417,false,244.78,2025-05-22,2,false,C00164,confirmed
H003-R023,false,false,walk_in,2025-05-23,B001748,false,217.57,2025-05-22,1,false,C02241,confirmed
H007-R025,false,false,booking.com,2025-07-07,B005545,false,195.82,2025-07-06,1,false,C01514,confirmed
H004-R015,false,false,walk_in,2025-06-03,B003388,false,397.65,2025-06-01,2,false,C02628,confirmed
H003-R009,false,false,mobile,2025-05-19,B001287,false,143.89,2025-05-18,1,false,C01335,confirmed
H007-R008,false,false,web,2025-06-02,B005914,false,1079.86,2025-05-26,7,false,C00631,confirmed
H003-R017,false,false,web,2025-07-06,B003726,false,317.3,2025-07-04,2,false,C00704,confirmed
H001-R020,false,false,walk_in,2025-01-28,B001607,false,189.97,2025-01-27,1,false,C02691,confirmed
H001-R009,false,false,booking.com,2025-05-10,B005769,false,797.08,2025-05-04,6,false,C00914,confirmed
H005-R020,false,false,booking.com,2025-05-15,B003599,false,575.12,2025-05-12,3,false,C02884,confirmed
H006-R010,false,false,web,2025-04-19,B001976,false,1265.96,2025-04-13,6,false,C00743,confirmed
H007-R013,false,false,mobile,2025-01-28,B000225,false,441.47,2025-01-26,2,false,C00730,confirmed
H005-R002,false,false,expedia,2025-02-03,B003980,false,378.72,2025-02-01,2,false,C00572,confirmed
H008-R016,false,false,expedia,2025-03-18,B001842,false,128.86,2025-03-17,1,false,C02320,confirmed
H004-R021,false,false,mobile,2025-07-02,B004330,false,419.97,2025-06-30,2,false,C02142,confirmed
H003-R020,false,false,mobile,2025-05-15,B002185,false,352.45,2025-05-13,2,false,C00153,confirmed
H007-R024,false,false,web,2025-06-29,B000081,false,163.41,2025-06-28,1,false,C02498,confirmed
H006-R016,false,false,web,2025-03-16,B004179,false,762.74,2025-03-12,4,false,C02872,confirmed
H003-R012,false,false,booking.com,2025-05-18,B002045,false,535.94,2025-05-14,4,false,C01875,confirmed
H004-R013,false,false,mobile,2025-05-05,B000477,false,266.32,2025-05-03,2,false,C01671,confirmed
H008-R002,false,false,mobile,2025-07-08,B004563,false,120.77,2025-07-07,1,false,C02873,confirmed
H007-R005,false,false,expedia,2025-05-28,B002437,false,1296.37,2025-05-22,6,false,C00500,confirmed
H008-R018,false,false,expedia,2025-04-27,B000326,false,817.76,2025-04-23,4,false,C01428,confirmed
H003-R007,false,false,web,2025-07-09,B002791,false,869.11,2025-07-04,5,false,C00587,confirmed
H005-R011,false,false,walk_in,2025-06-06,B000695,false,734.93,2025-06-02,4,false,C00435,confirmed
H006-R005,false,false,mobile,2025-06-19,B004432,false,159.52,2025-06-18,1,false,C02372,confirmed
H002-R023,false,false,mobile,2025-03-04,B004785,false,308.44,2025-03-02,2,false,C02902,confirmed
H003-R020,false,false,booking.com,2025-01-12,B002656,false,575.64,2025-01-09,3,false,C02650,confirmed
